filename,operator,time,test,Geno,plant,plot,whirl_id,line_raw_slope (N/m),line_push_slope (N/m),ransac_slope(N/m),ratio captured,points
./data/ThirdSet/2019_9_2_20_7_24.csv,JR,4PM,black,CML258,2,Plot A,1259,182.751085,170.9352663,184.3015523,0.894736842,19
./data/ThirdSet/2019_9_2_19_56_47.csv,JR,4PM,blue,CML258,3,Plot A,1259,267.37607,227.3578455,234.3105792,0.888888889,18
./data/ThirdSet/2019_9_2_20_2_11.csv,JR,4PM,red,CML258,3,Plot A,1259,264.4766812,226.1493639,325.7438959,0.894736842,19
./data/ThirdSet/2019_9_2_20_7_41.csv,JR,4PM,black,CML258,3,Plot A,1259,257.6787097,227.9325305,234.770185,0.882352941,17
./data/ThirdSet/2019_9_2_19_57_4.csv,JR,4PM,blue,CML258,4,Plot A,1259,75.87119077,76.34726532,64.66755997,0.473684211,19
./data/ThirdSet/2019_9_2_20_2_29.csv,JR,4PM,red,CML258,4,Plot A,1259,112.7970618,103.1554163,101.9694541,0.869565217,23
./data/ThirdSet/2019_9_2_20_7_57.csv,JR,4PM,black,CML258,4,Plot A,1259,92.58511895,72.47390258,131.5787268,0.6,20
./data/ThirdSet/2019_9_2_19_57_37.csv,JR,4PM,blue,CML258,5,Plot A,1259,171.7363998,146.8273688,124.8340941,0.722222222,18
./data/ThirdSet/2019_9_2_20_3_2.csv,JR,4PM,red,CML258,5,Plot A,1259,194.3282967,200.5720453,308.3212846,0.619047619,21
./data/ThirdSet/2019_9_2_20_8_29.csv,JR,4PM,black,CML258,5,Plot A,1259,209.228624,199.9355504,182.447106,0.894736842,19
./data/ThirdSet/2019_9_2_19_57_53.csv,JR,4PM,blue,CML258,6,Plot A,1259,206.1604248,193.0976164,211.6565514,0.833333333,18
./data/ThirdSet/2019_9_2_20_3_18.csv,JR,4PM,red,CML258,6,Plot A,1259,275.5989705,223.9789848,293.9442124,0.894736842,19
./data/ThirdSet/2019_9_2_20_8_54.csv,JR,4PM,black,CML258,6,Plot A,1259,241.0095973,255.7108824,283.0561835,0.888888889,18
./data/ThirdSet/2019_9_2_19_58_10.csv,JR,4PM,blue,CML258,7,Plot A,1259,199.7578607,223.7116887,336.799271,0.739130435,23
./data/ThirdSet/2019_9_2_20_3_40.csv,JR,4PM,red,CML258,7,Plot A,1259,197.2048576,190.8182294,186.5050072,0.894736842,19
./data/ThirdSet/2019_9_2_20_9_19.csv,JR,4PM,black,CML258,7,Plot A,1259,254.4053613,160.2618748,152.6190272,0.777777778,18
